id_temps,date,jour,mois,nom_mois,trimestre,annee,jour_semaine,est_weekend
20230506,2023-05-06,6,5,Mai,2,2023,Samedi,1
20230507,2023-05-07,7,5,Mai,2,2023,Dimanche,1
20230508,2023-05-08,8,5,Mai,2,2023,Lundi,0
20230509,2023-05-09,9,5,Mai,2,2023,Mardi,0
20230510,2023-05-10,10,5,Mai,2,2023,Mercredi,0
20230511,2023-05-11,11,5,Mai,2,2023,Jeudi,0
20230512,2023-05-12,12,5,Mai,2,2023,Vendredi,0
20230513,2023-05-13,13,5,Mai,2,2023,Samedi,1
20230514,2023-05-14,14,5,Mai,2,2023,Dimanche,1
20230515,2023-05-15,15,5,Mai,2,2023,Lundi,0
20230516,2023-05-16,16,5,Mai,2,2023,Mardi,0
20230517,2023-05-17,17,5,Mai,2,2023,Mercredi,0
20230518,2023-05-18,18,5,Mai,2,2023,Jeudi,0
20230519,2023-05-19,19,5,Mai,2,2023,Vendredi,0
20230520,2023-05-20,20,5,Mai,2,2023,Samedi,1
20230521,2023-05-21,21,5,Mai,2,2023,Dimanche,1
20230522,2023-05-22,22,5,Mai,2,2023,Lundi,0
20230523,2023-05-23,23,5,Mai,2,2023,Mardi,0
20230524,2023-05-24,24,5,Mai,2,2023,Mercredi,0
20230525,2023-05-25,25,5,Mai,2,2023,Jeudi,0
20230526,2023-05-26,26,5,Mai,2,2023,Vendredi,0
20230527,2023-05-27,27,5,Mai,2,2023,Samedi,1
20230528,2023-05-28,28,5,Mai,2,2023,Dimanche,1
20230529,2023-05-29,29,5,Mai,2,2023,Lundi,0
20230530,2023-05-30,30,5,Mai,2,2023,Mardi,0
20230531,2023-05-31,31,5,Mai,2,2023,Mercredi,0
